X,Y,codigo,municipio,distrito_m,nucleo_urb,nom_calle,numero,ubicacion,estado,anio_insta,tapa_norm,diametro,registro,tipo,modelo,marca,tipo_red1,tapon,propiedad,profundida,icon_url
-5.94971773628281,37.2832937701504,"32516",DOS HERMANAS,DH_DOS HERMANAS OESTE,DOS HERMANAS,CL\ RONDA DE ALTAIR,57B,En calzada,En servicio,"2022",Desconocido,"45",Caja,EMASESA,,ODRIOZOLA,Agua bruta secundaria,No,Particular (Cliente),0.000000,./0.png
-5.98259487435307,37.4285613237116,"10435",SEVILLA,SE_NORTE,SEVILLA,CL\ COQUINA,ENTRE PORTAL Nº4 Y N,En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.05278246210996,37.2963957571842,"22944",CORIA DEL RIO,CO_NORTE-GUADALQUIVIR,CORIA DEL RIO,CL\ CLARA CAMPOAMOR,"40",En acera,En servicio,"2001",Si,"60",Caja,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.92992677563583,37.2740425746278,"21819",DOS HERMANAS,DH_DOS HERMANAS CENTRO OESTE,DOS HERMANAS,CL\ VIRGEN DE LOS REYES,ESQ. CL\ VIRGEN DE LOS DESAMPARADOS,En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.00466088110338,37.3696086772635,"3099",SEVILLA,SE_LOS REMEDIOS,SEVILLA,CL\ INFIERNO (R. FERIAL),RECINTO FERIAL ZONA,En acera,En servicio,"2015",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.007855873025,37.3694393900351,"3113",SEVILLA,SE_LOS REMEDIOS,SEVILLA,AV\ JUAN PABLO II,CL\ (R. FERIA) INFIERNO,En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.06327386945057,37.2749440161321,"16192",LA PUEBLA DEL RIO,LP_SAN ROMAN-GUTIERREZ PEREZ,LA PUEBLA DEL RIO,CL\ TERESA DE CEPEDA,"21",En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-5.82954367579342,37.3293111360853,"16108",ALCALA DE GUADAIRA,AG_ALCALA DE GUADAIRA,ALCALA DE GUADAIRA,CL\ LA TOLVA,"29",En acera,En servicio,"1970",Si,"60",Caja,EMASESA,,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
-6.06447053172144,37.268150730525,"16276",LA PUEBLA DEL RIO,LP_POZO CONCEJO,LA PUEBLA DEL RIO,CL\ POLICIA NACIONAL ANTONIO GOMEZ OSUNA,"17",En acera,En servicio,"1970",Si,"60",Caja,EMASESA,CON ROSCA,,Potable secundaria,No,EMASESA,0.200000,./0.png
-5.86785068218842,37.3576186570599,"25071",ALCALA DE GUADAIRA,AG_ZONA INDUSTRIAL,ALCALA DE GUADAIRA,CL\ CUCHIPANDA UNO,S/N,En acera,En servicio,"2001",Si,"60",Arqueta,EMASESA,CON ROSCA,ODRIOZOLA,Potable secundaria,No,EMASESA,0.000000,./0.png
